customer_id,segment,city,district
C-10000,Seg B,Ramat Gan,Center
C-10001,Seg B,Akko,North
C-10002,Seg C,Akko,North
C-10003,Seg B,Hadera,Haifa
C-10004,Seg A,Beit Shemesh,Jerusalem
C-10005,Seg C,Rishon LeZion,Center
C-10006,Seg A,Tel Aviv,Center
C-10007,Seg B,Beit Shemesh,Jerusalem
C-10008,Seg B,Tel Aviv,Center
C-10009,Seg A,Akko,North
C-10010,Seg D,Nazareth,North
C-10011,Seg A,Netanya,Center
C-10012,Seg A,Ashdod,South
C-10013,Seg A,Rishon LeZion,Center
C-10014,Seg B,Kiryat Ata,Haifa
C-10015,Seg B,Mevaseret Zion,Jerusalem
C-10016,Seg B,Beit Shemesh,Jerusalem
C-10017,Seg A,Mevaseret Zion,Jerusalem
C-10018,Seg A,Jerusalem,Jerusalem
C-10019,Seg A,Holon,Center
C-10020,Seg A,Nesher,Haifa
C-10021,Seg A,Netanya,Center
C-10022,Seg A,Jerusalem,Jerusalem
C-10023,Seg A,Akko,North
C-10024,Seg A,Karmiel,North
C-10025,Seg C,Jerusalem,Jerusalem
C-10026,Seg A,Petah Tikva,Center
C-10027,Seg B,Herzliya,Center
C-10028,Seg B,Nazareth,North
C-10029,Seg D,Karmiel,North
C-10030,Seg A,Haifa,Haifa
C-10031,Seg A,Nesher,Haifa
C-10032,Seg B,Kiryat Ata,Haifa
C-10033,Seg B,Ramat Gan,Center
C-10034,Seg A,Holon,Center
C-10035,Seg D,Kiryat Ata,Haifa
C-10036,Seg A,Holon,Center
C-10037,Seg B,Beer Sheva,South
C-10038,Seg B,Ramat Gan,Center
C-10039,Seg B,Beit Shemesh,Jerusalem
C-10040,Seg C,Herzliya,Center
C-10041,Seg A,Rishon LeZion,Center
C-10042,Seg C,Afula,North
C-10043,Seg A,Rishon LeZion,Center
C-10044,Seg C,Haifa,Haifa
C-10045,Seg A,Netanya,Center
C-10046,Seg A,Hadera,Haifa
C-10047,Seg B,Ramat Gan,Center
C-10048,Seg A,Netanya,Center
C-10049,Seg A,Hadera,Haifa
C-10050,Seg C,Mevaseret Zion,Jerusalem
C-10051,Seg C,Ashdod,South
C-10052,Seg B,Tel Aviv,Center
C-10053,Seg D,Tel Aviv,Center
C-10054,Seg A,Rishon LeZion,Center
C-10055,Seg A,Haifa,Haifa
C-10056,Seg A,Petah Tikva,Center
C-10057,Seg A,Ashkelon,South
C-10058,Seg C,Jerusalem,Jerusalem
C-10059,Seg B,Nazareth,North
C-10060,Seg C,Tel Aviv,Center
C-10061,Seg D,Hadera,Haifa
C-10062,Seg C,Ashkelon,South
C-10063,Seg A,Holon,Center
C-10064,Seg A,Haifa,Haifa
C-10065,Seg A,Beer Sheva,South
C-10066,Seg B,Petah Tikva,Center
C-10067,Seg C,Nesher,Haifa
C-10068,Seg A,Haifa,Haifa
C-10069,Seg A,Ashkelon,South
C-10070,Seg D,Ramat Gan,Center
C-10071,Seg C,Nazareth,North
C-10072,Seg D,Tel Aviv,Center
C-10073,Seg D,Ramat Gan,Center
C-10074,Seg C,Rishon LeZion,Center
C-10075,Seg A,Holon,Center
C-10076,Seg B,Holon,Center
C-10077,Seg A,Jerusalem,Jerusalem
C-10078,Seg A,Kiryat Ata,Haifa
C-10079,Seg B,Rishon LeZion,Center
C-10080,Seg A,Mevaseret Zion,Jerusalem
C-10081,Seg A,Nazareth,North
C-10082,Seg A,Akko,North
C-10083,Seg A,Holon,Center
C-10084,Seg B,Petah Tikva,Center
C-10085,Seg A,Rishon LeZion,Center
C-10086,Seg C,Akko,North
C-10087,Seg B,Ashkelon,South
C-10088,Seg D,Jerusalem,Jerusalem
C-10089,Seg A,Akko,North
C-10090,Seg D,Kiryat Ata,Haifa
C-10091,Seg C,Nazareth,North
C-10092,Seg B,Mevaseret Zion,Jerusalem
C-10093,Seg A,Kiryat Ata,Haifa
C-10094,Seg A,Rishon LeZion,Center
