subscriber_id,billing_month,billed_amount
S-50002,2023-07,68.68
S-50010,2023-07,94.65
S-50013,2023-07,35.0
S-50022,2023-07,44.31
S-50047,2023-07,70.33
S-50051,2023-07,69.0
S-50052,2023-07,88.57
S-50053,2023-07,56.95
S-50054,2023-07,39.0
S-50056,2023-07,69.0
S-50062,2023-07,89.0
S-50063,2023-07,39.0
S-50064,2023-07,19.35
S-50068,2023-07,10.78
S-50069,2023-07,39.0
S-50071,2023-07,53.0
S-50073,2023-07,69.0
S-50078,2023-07,58.65
S-50079,2023-07,35.0
S-50086,2023-07,8.87
S-50089,2023-07,55.0
S-50090,2023-07,42.0
S-50098,2023-07,142.03
S-50102,2023-07,8.77
S-50103,2023-07,49.0
S-50104,2023-07,55.0
S-50105,2023-07,33.0
S-50109,2023-07,31.0
S-50114,2023-07,37.15
S-50118,2023-07,51.0
S-50119,2023-07,97.01
S-50120,2023-07,55.0
S-50123,2023-07,69.0
S-50124,2023-07,45.09
S-50126,2023-07,44.46
S-50127,2023-07,47.61
S-50128,2023-07,50.92
S-50133,2023-07,55.0
S-50135,2023-07,69.0
S-50139,2023-07,55.0
S-50140,2023-07,72.79
S-50142,2023-07,39.0
S-50152,2023-07,55.0
S-50154,2023-07,69.0
S-50155,2023-07,55.0
S-50156,2023-07,89.0
S-50160,2023-07,55.0
S-50161,2023-07,25.16
S-50164,2023-07,55.0
S-50165,2023-07,35.0
S-50171,2023-07,42.0
S-50175,2023-07,39.0
S-50177,2023-07,34.2
S-50178,2023-07,42.0
S-50183,2023-07,55.0
S-50185,2023-07,69.0
S-50187,2023-07,55.0
S-50189,2023-07,32.0
S-50198,2023-07,45.0
S-50199,2023-07,129.0
S-50211,2023-07,69.0
S-50213,2023-07,73.01
S-50218,2023-07,69.0
S-50219,2023-07,69.0
S-50224,2023-07,89.0
S-50229,2023-07,55.0
S-50230,2023-07,69.0
S-50231,2023-07,89.0
S-50240,2023-07,20.39
S-50242,2023-07,42.0
S-50244,2023-07,14.23
S-50255,2023-07,79.0
S-50258,2023-07,49.0
S-50259,2023-07,83.29
S-50262,2023-07,55.0
S-50263,2023-07,42.0
S-50265,2023-07,89.0
S-50270,2023-07,55.0
S-50272,2023-07,89.0
S-50273,2023-07,35.0
S-50275,2023-07,69.0
S-50280,2023-07,41.62
S-50285,2023-07,46.0
S-50292,2023-07,42.0
S-50293,2023-07,53.0
S-50294,2023-07,55.0
S-50295,2023-07,37.0
S-50301,2023-07,39.0
S-50303,2023-07,56.55
S-50306,2023-07,55.0
S-50309,2023-07,69.0
S-50310,2023-07,42.0
S-50312,2023-07,55.0
S-50321,2023-07,39.0
S-50322,2023-07,87.0
S-50323,2023-07,32.0
S-50324,2023-07,55.0
S-50325,2023-07,17.23
S-50330,2023-07,93.4
S-50335,2023-07,39.0
S-50336,2023-07,55.0
S-50337,2023-07,49.0
S-50338,2023-07,35.0
S-50339,2023-07,75.11
S-50341,2023-07,49.0
S-50358,2023-07,69.0
S-50359,2023-07,55.0
S-50360,2023-07,41.95
S-50361,2023-07,31.0
S-50367,2023-07,35.0
S-50368,2023-07,39.52
S-50369,2023-07,35.0
S-50370,2023-07,76.45
S-50372,2023-07,52.69
S-50374,2023-07,89.0
S-50380,2023-07,40.06
S-50381,2023-07,69.0
S-50391,2023-07,26.0
S-50392,2023-07,57.0
S-50397,2023-07,69.0
S-50398,2023-07,35.0
S-50399,2023-07,46.0
S-50402,2023-07,44.19
S-50403,2023-07,69.0
S-50404,2023-07,39.0
S-50405,2023-07,71.05
S-50406,2023-07,87.0
S-50412,2023-07,49.0
S-50413,2023-07,35.0
S-50415,2023-07,35.0
S-50416,2023-07,45.0
S-50418,2023-07,55.0
S-50420,2023-07,69.0
S-50421,2023-07,69.0
S-50423,2023-07,45.0
S-50425,2023-07,39.0
S-50431,2023-07,89.0
S-50438,2023-07,55.0
S-50439,2023-07,109.0
S-50441,2023-07,55.0
S-50442,2023-07,39.0
S-50443,2023-07,12.19
S-50447,2023-07,37.64
S-50448,2023-07,76.82
S-50449,2023-07,69.0
S-50450,2023-07,63.0
S-50456,2023-07,39.0
S-50459,2023-07,55.0
S-50460,2023-07,48.09
S-50463,2023-07,57.13
S-50464,2023-07,37.0
S-50466,2023-07,57.0
S-50468,2023-07,57.0
S-50473,2023-07,86.42
S-50474,2023-07,72.78
S-50490,2023-07,35.68
S-50496,2023-07,49.0
S-50512,2023-07,35.0
S-50521,2023-07,10.06
S-50523,2023-07,91.69
S-50524,2023-07,37.72
S-50527,2023-07,69.0
S-50530,2023-07,49.0
S-50541,2023-07,42.0
S-50542,2023-07,69.0
S-50543,2023-07,66.88
S-50551,2023-07,21.68
S-50555,2023-07,69.0
S-50568,2023-07,55.0
S-50570,2023-07,37.45
S-50588,2023-07,69.0
S-50589,2023-07,31.0
S-50590,2023-07,42.0
S-50592,2023-07,35.0
S-50596,2023-07,56.13
S-50598,2023-07,40.61
S-50605,2023-07,28.94
S-50612,2023-07,51.19
S-50616,2023-07,55.0
S-50619,2023-07,47.39
S-50621,2023-07,47.18
S-50628,2023-07,49.0
S-50632,2023-07,87.0
S-50640,2023-07,55.0
S-50641,2023-07,87.02
S-50656,2023-07,74.27
S-50657,2023-07,5.42
S-50658,2023-07,41.54
S-50659,2023-07,69.0
S-50662,2023-07,12.42
S-50663,2023-07,89.0
S-50664,2023-07,71.55
S-50665,2023-07,49.0
S-50666,2023-07,36.26
S-50672,2023-07,69.0
S-50675,2023-07,74.41
S-50676,2023-07,63.0
S-50678,2023-07,62.39
S-50684,2023-07,87.66
S-50720,2023-07,69.0
S-50721,2023-07,71.97
S-50722,2023-07,41.0
S-50723,2023-07,57.56
S-50731,2023-07,55.0
S-50732,2023-07,35.0
S-50733,2023-07,83.0
S-50734,2023-07,46.55
S-50736,2023-07,66.77
S-50741,2023-07,69.0
S-50744,2023-07,55.0
S-50751,2023-07,55.0
S-50756,2023-07,39.03
S-50757,2023-07,39.0
S-50758,2023-07,69.0
S-50762,2023-07,89.0
S-50763,2023-07,50.52
S-50769,2023-07,44.0
S-50771,2023-07,17.23
S-50772,2023-07,39.0
S-50773,2023-07,43.25
S-50780,2023-07,42.0
S-50787,2023-07,89.0
S-50790,2023-07,55.0
S-50792,2023-07,74.65
S-50797,2023-07,56.81
S-50800,2023-07,69.0
S-50803,2023-07,57.0
S-50805,2023-07,42.0
S-50806,2023-07,49.0
S-50808,2023-07,69.0
S-50810,2023-07,52.0
S-50820,2023-07,46.75
S-50822,2023-07,39.0
S-50824,2023-07,69.0
S-50827,2023-07,14.71
S-50834,2023-07,49.0
S-50837,2023-07,55.0
S-50839,2023-07,37.0
S-50843,2023-07,56.56
S-50844,2023-07,32.0
S-50851,2023-07,44.94
S-50853,2023-07,39.0
S-50854,2023-07,55.0
S-50855,2023-07,55.0
S-50865,2023-07,72.52
S-50867,2023-07,59.89
S-50869,2023-07,49.01
S-50870,2023-07,42.0
S-50879,2023-07,42.0
S-50882,2023-07,69.0
S-50887,2023-07,37.38
S-50888,2023-07,39.0
S-50890,2023-07,129.55
S-50893,2023-07,39.0
S-50900,2023-07,54.84
S-50902,2023-07,55.0
S-50903,2023-07,77.79
S-50904,2023-07,89.0
S-50906,2023-07,69.0
S-50907,2023-07,73.66
S-50939,2023-07,69.0
S-50940,2023-07,8.9
S-50941,2023-07,71.78
S-50942,2023-07,35.0
S-50951,2023-07,68.9
S-50952,2023-07,87.0
S-50956,2023-07,69.0
S-50957,2023-07,55.0
S-50958,2023-07,79.0
S-50961,2023-07,55.0
S-50963,2023-07,73.57
S-50964,2023-07,55.0
S-50965,2023-07,69.0
S-50966,2023-07,89.0
S-50967,2023-07,42.0
S-50972,2023-07,53.5
S-50973,2023-07,70.45
S-50974,2023-07,33.37
S-50976,2023-07,52.19
S-50979,2023-07,55.0
S-50981,2023-07,79.0
S-50983,2023-07,26.0
S-50984,2023-07,69.0
S-50986,2023-07,39.0
S-50987,2023-07,69.0
S-50990,2023-07,42.0
S-50993,2023-07,33.15
S-50995,2023-07,60.78
S-50996,2023-07,43.34
S-50997,2023-07,36.4
S-50998,2023-07,55.0
S-51013,2023-07,55.0
S-51014,2023-07,100.36
S-51017,2023-07,69.0
S-51019,2023-07,45.55
S-51022,2023-07,55.0
S-51026,2023-07,26.0
S-51027,2023-07,49.0
S-51028,2023-07,33.0
S-51029,2023-07,49.0
S-51037,2023-07,30.0
S-51038,2023-07,46.55
S-51039,2023-07,40.32
S-51045,2023-07,47.5
S-51046,2023-07,39.0
S-51048,2023-07,35.0
S-51055,2023-07,73.27
S-51056,2023-07,10.65
S-51064,2023-07,79.0
S-51068,2023-07,79.0
S-51073,2023-07,22.6
S-51074,2023-07,58.7
S-51075,2023-07,42.0
S-51076,2023-07,39.0
S-51077,2023-07,69.0
S-51078,2023-07,44.54
S-51079,2023-07,49.22
S-51080,2023-07,36.27
S-51085,2023-07,55.0
S-51088,2023-07,79.0
S-51089,2023-07,35.0
S-51097,2023-07,26.0
S-51098,2023-07,77.27
S-51101,2023-07,54.6
