plan_code,plan_name,plan_family,monthly_list_price
PLN-S100,Smart 100,Smart,55
PLN-S200,Smart 200,Smart,69
PLN-S100,Smart100 (legacy name),Smart,55
PLN-UMAX,Unlimited Max,Unlimited,89
PLN-B60,Basic 60,Basic,42
PLN-YTH,Youth,Youth,39
PLN-FAM,Family Line,Family,49
PLN-U69,Unlimited Lite,Unlimited,69
PLN-SNR,Senior 65+,Senior,35
PLN-S300,Smart 300,Smart,79
PLN-B40,Basic 40,Basic,35
PLN-T01,Basic 32 Legacy,Basic,32
PLN-T02,Smart 51 Plus,Smart,51
PLN-T03,Unlimited 109 Plus,Unlimited,109
PLN-T04,Youth 34 Legacy,Youth,34
PLN-T05,Senior 30 Plus,Senior,30
PLN-T06,Family 49 Plus,Family,49
PLN-T07,Data 46 Legacy,Data,46
PLN-T08,Basic 41 Plus,Basic,41
PLN-T09,Smart 52 Plus,Smart,52
PLN-T10,Unlimited 83 Legacy,Unlimited,83
PLN-T11,Youth 45 Plus,Youth,45
PLN-T12,Senior 31 Plus,Senior,31
PLN-T13,Family 66 Legacy,Family,66
PLN-T14,Data 48 Plus,Data,48
PLN-T15,Basic 31 Plus,Basic,31
PLN-T16,Smart 63 Legacy,Smart,63
PLN-T17,Unlimited 129 Plus,Unlimited,129
PLN-T18,Youth 33 Plus,Youth,33
PLN-T19,Senior 37 Legacy,Senior,37
PLN-T20,Family 53 Plus,Family,53
PLN-T21,Data 26 Plus,Data,26
PLN-T22,Basic 44 Legacy,Basic,44
PLN-T23,Smart 57 Plus,Smart,57
PLN-T24,Unlimited 87 Plus,Unlimited,87
PLN-T25,Youth 45 Legacy,Youth,45
