subscriber_id,customer_id,dealer_code,plan_code,join_date,churn_date
S-50000,C-10000,DLR-09,PLN-S200,09/06/2024,
S-50001,C-10000,DLR-1,PLN-U69,10/19/2025,
S-50002,C-10001,DLR-09,PLN-S200,02/22/2023,
S-50003,C-10002,DLR-07,PLN-T21,09/24/2023,
S-50004,C-10002,DLR-01,PLN-YTH,11/25/2023,10/04/2024
S-50005,C-10002,DLR-08,PLN-T25,06/11/2024,06/02/2025
S-50006,C-10003,DLR-03,PLN-S200,03/24/2024,03/27/2025
S-50007,C-10004,DLR-08,PLN-S200,07/28/2024,
S-50008,C-10004,DLR-06,PLN-SNR,10/03/2024,
S-50009,C-10005,DLR-01,PLN-YTH,08/28/2025,
S-50010,C-10006,DLR-1,PLN-UMAX,03/18/2022,07/23/2025
S-50011,C-10007,DLR-08,PLN-SNR,10/11/2025,
S-50012,C-10007,DLR-8,PLN-S200,11/24/2025,
S-50013,C-10008,DLR-09,PLN-B40,05/19/2023,
S-50014,C-10008,dlr-10,PLN-S100,11/08/2023,10/13/2025
S-50015,C-10009,DLR-03,PLN-B40,05/24/2025,11/08/2025
S-50016,C-10010,DLR-09,PLN-T05,06/02/2025,
S-50017,C-10010,DLR-04,PLN-S100,11/13/2025,
S-50018,C-10011,DLR-08,PLN-T16,09/06/2025,
S-50019,C-10012,DLR-10,PLN-S200,06/04/2025,
S-50020,C-10012,DLR-06,PLN-SNR,12/17/2025,
S-50021,C-10013,DLR-07 ,PLN-FAM,07/09/2022,03/20/2023
S-50022,C-10014,dlr-02,PLN-T11,12/02/2022,05/31/2024
S-50023,C-10015,DLR-09,PLN-YTH,09/26/2025,
S-50024,C-10016,DLR-02,PLN-T10,12/25/2024,
S-50025,C-10017,DLR-1,PLN-U69,04/10/2025,
S-50026,C-10017,DLR-01,PLN-B60,06/26/2025,
S-50027,C-10017,DLR-05,PLN-B60,05/28/2025,
S-50028,C-10018,DLR-05,PLN-S200,06/22/2021,08/20/2021
S-50029,C-10019,DLR-01,PLN-FAM,05/14/2025,
S-50030,C-10020,DLR-01,PLN-B60,01/31/2025,05/07/2025
S-50031,C-10020,DLR-03 ,PLN-FAM,06/05/2025,12/11/2025
S-50032,C-10021,DLR-03,PLN-U69,06/13/2025,
S-50033,C-10022,DLR-03,PLN-T03,09/21/2023,12/19/2024
S-50034,C-10023,DLR-09,PLN-FAM,11/05/2025,
S-50035,C-10024,dlr-10,PLN-S200,08/30/2025,12/17/2025
S-50036,C-10025,DLR-10,PLN-UMAX,03/25/2024,
S-50037,C-10026,DLR-09,PLN-U69,08/20/2025,
S-50038,C-10027,DLR-01,PLN-YTH,07/14/2024,09/28/2024
S-50039,C-10028,DLR-10,PLN-SNR,06/13/2021,09/01/2022
S-50040,C-10029,DLR-02,PLN-UMAX,02/11/2025,10/27/2025
S-50041,C-10030,DLR-6,PLN-S100,04/11/2025,
S-50042,C-10031,DLR-09,PLN-T25,07/03/2025,
S-50043,C-10032,DLR-01,PLN-S100,11/27/2025,
S-50044,C-10033,DLR-01,PLN-U69,08/19/2024,
S-50045,C-10033,DLR-05,PLN-B60,08/15/2025,
S-50046,C-10033,DLR-04,PLN-FAM,11/04/2025,
S-50047,C-10034,DLR-09,PLN-S200,02/15/2023,03/28/2024
S-50048,C-10034,DLR-09,PLN-S100,03/14/2024,06/03/2025
S-50049,C-10035,DLR-03,PLN-FAM,08/23/2021,01/13/2023
S-50050,C-10036,DLR-08,PLN-T21,01/26/2022,02/20/2022
S-50051,C-10036,DLR-03 ,PLN-U69,12/20/2022,
S-50052,C-10036,DLR-09,PLN-T10,12/13/2022,09/01/2025
S-50053,C-10036,DLR-09,PLN-T20,11/11/2022,
S-50054,C-10036,DLR-01,PLN-YTH,01/06/2023,
S-50055,C-10037,DLR-03,PLN-S100,02/26/2025,
S-50056,C-10038,DLR-01,PLN-S200,10/01/2022,08/19/2025
S-50057,C-10038,dlr-06,PLN-T17,08/23/2023,
S-50058,C-10039,DLR-05,PLN-B40,09/11/2025,
S-50059,C-10040,DLR-09,PLN-S100,02/02/2022,03/06/2023
S-50060,C-10041,DLR-08,PLN-B60,09/14/2021,01/19/2022
S-50061,C-10042,DLR-07,PLN-U69,02/27/2021,08/26/2022
